contract_id,attachment_count,source_pdfs,source_txts,merged_txt,attachment_errors
11818620,4,11818620_1.pdf;11818620_2.pdf;11818620_3.pdf;11818620_4.pdf,11818620_1.txt;11818620_2.txt;11818620_3.txt;11818620_4.txt,11818620.txt,
11818625,1,11818625.pdf,11818625.txt,11818625.txt,
11818627,5,11818627_1.pdf;11818627_2.pdf;11818627_3.pdf;11818627_4.pdf;11818627_5.pdf,11818627_1.txt;11818627_2.txt;11818627_3.txt;11818627_4.txt;11818627_5.txt,11818627.txt,
11818634,2,11818634_1.pdf;11818634_2.pdf,11818634_1.txt;11818634_2.txt,11818634.txt,
11818635,2,11818635_1.pdf;11818635_2.pdf,11818635_1.txt;11818635_2.txt,11818635.txt,
11818637,1,11818637.pdf,11818637.txt,11818637.txt,
11818640,4,11818640_1.pdf;11818640_3.pdf;11818640_4.pdf;11818640_5.pdf,11818640_1.txt;11818640_3.txt;11818640_4.txt;11818640_5.txt,11818640.txt,
11818642,1,11818642.pdf,11818642.txt,11818642.txt,
11818645,2,11818645_1.pdf;11818645_2.pdf,11818645_1.txt;11818645_2.txt,11818645.txt,
11818651,1,11818651.pdf,11818651.txt,11818651.txt,
11818653,1,11818653.pdf,11818653.txt,11818653.txt,
